name,internal,description,billingstatementidentifier,productname,periodtype,periodamount,initialfreedays,prices,gamecard,mockProduct,categories,billedProduct
SP-CO-6MonthPOR1,S-CO,Champions Online Recurring 1-Month with Discounted 6-Month Presale,,PRD-CO,1,1,183,"14.99 USD, 16.49 CAD, 8.99 GBP, 12.99 EUR, 82.45 DKK",,,"sc-co-web, postlaunch_limited_offer_case3",,"loc:""de"":""1-Month Recurring with Discounted 6-Month Presale"":"" ""","loc:""en-US"":""1-Month Recurring with Discounted 6-Month Presale"":"" ""","loc:""fr"":""1-Month Recurring with Discounted 6-Month Presale"":"" """
SP-CO-GameCard-v2,S-CO,Champions Online Game Card. Version 2,,PRD-CO,2,1,0,,,,sc-co-web,,"loc:""de"":""Champions Online Game Card"":"" ""","loc:""en-US"":""Champions Online Game Card"":"" ""","loc:""fr"":""Champions Online Game Card"":"" """
SP-STO-GameCard,S-STO,Star Trek Online Game Card,,PRD-STO,2,1,0,,,,sc-sto-web,,"loc:""de"":""Game Card"":"" ""","loc:""en-US"":""Game Card"":"" ""","loc:""fr"":""Game Card"":"" """
SP-CO-6MonthPOR3,S-CO,Champions Online Recurring 3-Month with Discounted 6-Month Presale,,PRD-CO,1,3,183,"41.97 USD, 46.17 CAD, 25.17 GBP, 35.97 EUR, 230.84 DKK",,,"sc-co-web, postlaunch_limited_offer_case3",,"loc:""de"":""3-Month Recurring with Discounted 6-Month Presale"":"" ""","loc:""en-US"":""3-Month Recurring with Discounted 6-Month Presale"":"" ""","loc:""fr"":""3-Month Recurring with Discounted 6-Month Presale"":"" """
SP-CO-GameCard,S-CO,Champions Online Game Card,,PRD-CO,2,1,0,,,,,
SP-CO-R6Month,S-CO,Champions Online 6-Month Recurring,,PRD-CO,1,6,0,"77.94 USD, 85.73 CAD, 46.14 GBP, 65.94 EUR, 428.67 DKK",,,sc-co-web,,"loc:""de"":""6-Month Recurring"":"" ""","loc:""en-US"":""6-Month Recurring"":"" ""","loc:""fr"":""6-Month Recurring"":"" """
SP-STO-R3Month,S-STO,Star Trek Online Recurring 3-Month,,PRD-STO,1,3,0,"41.97 USD, 46.17 CAD, 28.95 GBP, 41.37 EUR, 265.47 DKK",,,sc-sto-web,,"loc:""de"":""Recurring 3-Month"":"" ""","loc:""en-US"":""Recurring 3-Month"":"" ""","loc:""fr"":""Recurring 3-Month"":"" """
six month invis hack,S-CO,Champions Online Game Card. With 6 Month Preorder,,PRD-CO,2,1,182,,,,sc-co-web,,"loc:""de"":""Champions Online 6 Month Preorder"":"" ""","loc:""en-US"":""Champions Online 6 Month Preorder"":"" ""","loc:""fr"":""Champions Online 6 Month Preorder"":"" """
SP-STO-R1Month,S-STO,Star Trek Online Recurring 1-Month,,PRD-STO,1,1,0,"14.99 USD, 16.49 CAD, 10.34 GBP, 14.94 EUR, 94.82 DKK",,,sc-sto-web,,"loc:""de"":""Recurring 1-Month"":"" ""","loc:""en-US"":""Recurring 1-Month"":"" ""","loc:""fr"":""Recurring 1-Month"":"" """
SP-STO-Lifetime,S-STO,Star Trek Online Post Launch Lifetime Sub,,PRD-STO-R-Lifetime,1,1,0,"299.99 USD, 343.74 CAD, 192.49 GBP, 218.74 EUR, 1625.00 DKK",,1,sc-sto-web,,"loc:""de"":""Lifetime "":"" ""","loc:""en-US"":""Lifetime "":"" ""","loc:""fr"":""Lifetime "":"" """
SP-STO-Int,S-STO,Star Trek Online Internal Subscription,,PRD-STO-R-0Day,2,1,0,,,1,sc-sto-web-epmo,
SP-STO-R6Month,S-STO,Star Trek Online Recurring 6-Month,,PRD-STO,1,6,0,"77.94 USD, 85.73 CAD, 53.06 GBP, 75.83 EUR, 492.97 DKK",,,sc-sto-web,,"loc:""de"":""Recurring 6-Month"":"" ""","loc:""en-US"":""Recurring 6-Month"":"" ""","loc:""fr"":""Recurring 6-Month"":"" """
SP-CO-R3month-6monthPO,S-CO,Champions Online 3 Month Recurring with 6-Month Preorder Promo,Champions Online 3 Month Recurring,PRD-CO,1,3,0,"29.99 USD, 32.99 CAD, 21.03 GBP, 24.14 EUR, 149.95 DKK",,,,,"loc:""de"":""Champions Online 3 Month Recurring with 6-Month Preorder Promo"":"" ""","loc:""en-US"":""Champions Online 3 Month Recurring with 6-Month Preorder Promo"":"" ""","loc:""fr"":""Champions Online 3 Month Recurring with 6-Month Preorder Promo"":"" """
SP-STO-R12MonthPO,S-STO,Star Trek Online Recurring 12-Month Discounted,,PRD-STO,0,1,365,"119.99 USD, 131.99 CAD, 73.70 GBP, 83.99 EUR, 625.73 DKK",,,sc-sto-web-sp,,"loc:""de"":""Star Trek Online Recurring 12-Month"":"" ""","loc:""en-US"":""Star Trek Online Recurring 12-Month"":"" ""","loc:""fr"":""Star Trek Online Recurring 12-Month"":"" """
SP-CO-Int,S-CO,Champions Online Internal Subscription,,PRD-CO-R-0Day,2,1,0,,,1,sc-co-web-epmo,
SP-CO-R1Month,S-CO,Champions Online 1-Month Recurring,,PRD-CO,1,1,0,"14.99 USD, 16.49 CAD, 8.99 GBP, 12.99 EUR, 82.45 DKK",,,sc-co-web,,"loc:""de"":""1-Month Recurring"":"" ""","loc:""en-US"":""1-Month Recurring"":"" ""","loc:""fr"":""1-Month Recurring"":"" """
SP-CO-PR-R3Month-March10,S-CO,Champions Online Recurring 3-Month - Limited Time Offer,,PRD-CO,1,3,0,"29.99 USD, 30.99 CAD, 22.99 GBP, 25.29 EUR, 192.04 DKK",,,sc-co-web,,"loc:""de"":""3-Month Recurring - Limited Time Offer"":"" ""","loc:""en-US"":""3-Month Recurring - Limited Time Offer"":"" ""","loc:""fr"":""3-Month Recurring - Limited Time Offer"":"" """
SP-CO-6MonthPOR6,S-CO,Champions Online Recurring 6-Month with Discounted 6-Month Presale,,PRD-CO,1,6,183,"77.94 USD, 85.73 CAD, 46.14 GBP, 65.94 EUR, 428.67 DKK",,,"sc-co-web, postlaunch_limited_offer_case3",,"loc:""fr"":""6-Month Recurring with Discounted 6-Month Presale"":"" ""","loc:""en-US"":""6-Month Recurring with Discounted 6-Month Presale"":"" ""","loc:""de"":""6-Month Recurring with Discounted 6-Month Presale"":"" """
SP-CO-6MonthPO,S-CO,Champions Online Non-recurring 6-Month Discounted,,PRD-CO-6MonthPO,1,0,0,"59.99 USD, 65.99 CAD, 35.99 GBP, 44.99 EUR, 329.99 DKK",,1,sc-co-web-po,,"loc:""de"":""Champions Online Sechs-Monats Abonnement"":"" ""","loc:""en-US"":""Champions Online 6-Month Discounted Subscription"":"" ""","loc:""fr"":""Abonnement de six mois Champions Online"":"" """
SP-CO-R3Month,S-CO,Champions Online 3-Month Recurring,,PRD-CO,1,3,0,"41.97 USD, 46.17 CAD, 25.17 GBP, 35.97 EUR, 230.84 DKK",,,sc-co-web-pr,,"loc:""de"":""3-Month Recurring"":"" ""","loc:""en-US"":""3-Month Recurring"":"" ""","loc:""fr"":""3-Month Recurring"":"" """
SP-CO-LifetimePO,S-CO,Champions Online Lifetime,,PRD-CO-LifetimePO,1,0,0,"199.99 USD, 219.99 CAD, 119.99 GBP, 147.99 EUR, 1099.99 DKK",,1,sc-co-web-po,,"loc:""de"":""Champions Online Lifetime-Abo"":"" ""","loc:""en-US"":""Champions Online Lifetime Subscription"":"" ""","loc:""fr"":""ABONNEMENT A VIE CHAMPIONS ONLINE"":"" """